dataset,model,selector_clean_selector,selector_type_clean_selector,best_epoch_clean_selector,best_val_score_clean_selector,num_val_corruptions_clean_selector,val_corruption_names_clean_selector,val_corruption_severity_clean_selector,test_clean_acc_clean_selector,test_corrupt_mean_acc_clean_selector,robustness_gap_clean_selector,experiment_dir_clean_selector,checkpoint_path_clean_selector,selector_best_corrupt_selector,selector_type_best_corrupt_selector,best_epoch_best_corrupt_selector,best_val_score_best_corrupt_selector,num_val_corruptions_best_corrupt_selector,val_corruption_names_best_corrupt_selector,val_corruption_severity_best_corrupt_selector,test_clean_acc_best_corrupt_selector,test_corrupt_mean_acc_best_corrupt_selector,robustness_gap_best_corrupt_selector,experiment_dir_best_corrupt_selector,checkpoint_path_best_corrupt_selector,experiment_dir
cifar10,convnext,clean,clean,24,0.8424,0,,0,0.8356,0.7320599999999999,0.10354,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_convnext_seed42/best_clean.pt,corr_k3_s2,corrupt,18,0.6846,3,"gaussian_noise, motion_blur, fog",2,0.8294,0.73396,0.09544,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_convnext_seed42/best_corr_k3_s2.pt,cifar10_convnext_seed42
cifar10,resnet,clean,clean,25,0.6634,0,,0,0.6611,0.44214,0.21896,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_resnet_seed42/best_clean.pt,corr_k3_s2,corrupt,24,0.3476999999999999,3,"gaussian_noise, motion_blur, fog",2,0.6616,0.44544,0.2161599999999999,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_resnet_seed42/best_corr_k3_s2.pt,cifar10_resnet_seed42
cifar10,vgg,clean,clean,23,0.8971,0,,0,0.8873,0.7645200000000001,0.1227799999999998,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vgg_seed42/best_clean.pt,corr_k1_s2,corrupt,20,0.7678,1,gaussian_noise,2,0.8828,0.76604,0.1167599999999999,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vgg_seed42/best_corr_k1_s2.pt,cifar10_vgg_seed42
cifar10,vit,clean,clean,25,0.7237,0,,0,0.7221,0.6074999999999999,0.1146,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vit_seed42/best_clean.pt,corr_k3_s2,corrupt,25,0.5668333333333334,3,"gaussian_noise, motion_blur, fog",2,0.7221,0.60838,0.1137199999999999,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vit_seed42/best_corr_k3_s2.pt,cifar10_vit_seed42
fashion_mnist,convnext,clean,clean,25,0.93725,0,,0,0.9291,0.6669799999999999,0.2621200000000001,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_convnext_seed42/best_clean.pt,corr_k3_s2,corrupt,19,0.7165833333333333,3,"gaussian_noise, motion_blur, fog",2,0.9263,0.6875799999999999,0.2387200000000001,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_convnext_seed42/best_corr_k3_s2.pt,fashion_mnist_convnext_seed42
fashion_mnist,resnet,clean,clean,3,0.6956666666666667,0,,0,0.6959,0.39764,0.2982599999999999,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_resnet_seed42/best_clean.pt,corr_k5_s2,corrupt,3,0.4021333333333333,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.6959,0.39706,0.2988399999999999,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_resnet_seed42/best_corr_k5_s2.pt,fashion_mnist_resnet_seed42
fashion_mnist,vgg,clean,clean,24,0.94975,0,,0,0.9429,0.7715,0.1714,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vgg_seed42/best_clean.pt,corr_k3_s2,corrupt,18,0.7833333333333333,3,"gaussian_noise, motion_blur, fog",2,0.9405,0.78406,0.15644,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vgg_seed42/best_corr_k3_s2.pt,fashion_mnist_vgg_seed42
fashion_mnist,vit,clean,clean,25,0.90275,0,,0,0.9001,0.6707,0.2294,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vit_seed42/best_clean.pt,corr_k5_s2,corrupt,18,0.6762333333333334,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.8846,0.6725,0.2121,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vit_seed42/best_corr_k5_s2.pt,fashion_mnist_vit_seed42
imagenet100,convnext,clean,clean,15,0.5484615384615384,0,,0,0.5515384615384615,0.3469230769230769,0.2046153846153846,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42/best_clean.pt,corr_k5_s2,corrupt,13,0.3507521367521368,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.5463846153846154,0.3539076923076923,0.192476923076923,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42/best_corr_k5_s2.pt,imagenet100_convnext_seed42
imagenet100,resnet,clean,clean,20,0.4222649572649573,0,,0,0.4206923076923077,0.1873846153846153,0.2333076923076923,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42/best_clean.pt,corr_k5_s2,corrupt,20,0.1906153846153846,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.4206923076923077,0.1874461538461538,0.2332461538461538,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42/best_corr_k5_s2.pt,imagenet100_resnet_seed42
