dataset,model,selector,selector_type,best_epoch,best_val_score,num_val_corruptions,val_corruption_names,val_corruption_severity,test_clean_acc,test_corrupt_mean_acc,robustness_gap,experiment_dir,checkpoint_path
cifar10,convnext,clean,clean,24,0.8424,0,,0,0.8356,0.7320599999999999,0.10354,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_convnext_seed42/best_clean.pt
cifar10,resnet,clean,clean,25,0.6634,0,,0,0.6611,0.44214,0.21896,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_resnet_seed42/best_clean.pt
cifar10,vgg,clean,clean,23,0.8971,0,,0,0.8873,0.7645200000000001,0.1227799999999998,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vgg_seed42/best_clean.pt
cifar10,vit,clean,clean,25,0.7237,0,,0,0.7221,0.6074999999999999,0.1146,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vit_seed42/best_clean.pt
fashion_mnist,convnext,clean,clean,25,0.93725,0,,0,0.9291,0.6669799999999999,0.2621200000000001,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_convnext_seed42/best_clean.pt
fashion_mnist,resnet,clean,clean,3,0.6956666666666667,0,,0,0.6959,0.39764,0.2982599999999999,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_resnet_seed42/best_clean.pt
fashion_mnist,vgg,clean,clean,24,0.94975,0,,0,0.9429,0.7715,0.1714,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vgg_seed42/best_clean.pt
fashion_mnist,vit,clean,clean,25,0.90275,0,,0,0.9001,0.6707,0.2294,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vit_seed42/best_clean.pt
imagenet100,convnext,clean,clean,15,0.5484615384615384,0,,0,0.5515384615384615,0.3469230769230769,0.2046153846153846,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42/best_clean.pt
imagenet100,resnet,clean,clean,20,0.4222649572649573,0,,0,0.4206923076923077,0.1873846153846153,0.2333076923076923,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42/best_clean.pt
