dataset,model,clean,corr_k1_s2,corr_k3_s2,corr_k5_s2
cifar10,convnext,0.7320599999999999,0.73342,0.73396,0.7313799999999999
cifar10,resnet,0.44214,0.32188,0.44544,0.44514
cifar10,vgg,0.7645200000000001,0.76604,0.76496,0.76464
cifar10,vit,0.6074999999999999,0.6064,0.60838,0.6075200000000001
fashion_mnist,convnext,0.6669799999999999,0.65772,0.6875799999999999,0.68672
fashion_mnist,resnet,0.39764,0.34156,0.34106,0.39706
fashion_mnist,vgg,0.7715,0.78302,0.78406,0.7826799999999999
fashion_mnist,vit,0.6707,0.6705800000000001,0.67028,0.6725
imagenet100,convnext,0.3469230769230769,0.3020615384615385,0.3525384615384615,0.3539076923076923
imagenet100,resnet,0.1873846153846153,0.1123230769230769,0.185876923076923,0.1874461538461538
imagenet100,vgg,0.3698461538461538,0.268076923076923,0.3693692307692308,0.37
imagenet100,vit,0.3206,0.3203846153846154,0.3258,0.3260615384615384
