dataset,model,test_corrupt_mean_acc_clean_selector,test_corrupt_mean_acc_best_corrupt_selector,robustness_gap_clean_selector,robustness_gap_best_corrupt_selector
cifar10,convnext,0.7320599999999999,0.73396,0.10354,0.09544
cifar10,resnet,0.44214,0.44544,0.21896,0.2161599999999999
cifar10,vgg,0.7645200000000001,0.76604,0.1227799999999998,0.1167599999999999
cifar10,vit,0.6074999999999999,0.60838,0.1146,0.1137199999999999
fashion_mnist,convnext,0.6669799999999999,0.6875799999999999,0.2621200000000001,0.2387200000000001
fashion_mnist,resnet,0.39764,0.39706,0.2982599999999999,0.2988399999999999
fashion_mnist,vgg,0.7715,0.78406,0.1714,0.15644
fashion_mnist,vit,0.6707,0.6725,0.2294,0.2121
imagenet100,convnext,0.3469230769230769,0.3539076923076923,0.2046153846153846,0.192476923076923
imagenet100,resnet,0.1873846153846153,0.1874461538461538,0.2333076923076923,0.2332461538461538
imagenet100,vgg,0.3698461538461538,0.37,0.321,0.3208461538461539
imagenet100,vit,0.3206,0.3260615384615384,0.1497076923076922,0.1440923076923077
